jam,menit,detik,cpm,temp,hum
03,16,00,41,25.2,85.8
03,17,00,29,25.2,85.9
03,18,00,36,25.2,85.4
03,19,00,19,25.1,85.5
03,20,00,28,25,86.3
03,21,00,38,25,86.7
03,22,00,29,25,86.8
03,23,00,18,25,86.9
03,24,00,40,25.1,86.1
03,25,00,31,25,86
03,26,00,29,24.9,86.6
03,27,00,36,24.9,86.7
03,28,00,32,24.9,86.7
03,29,00,27,24.9,86.6
03,30,00,44,24.9,86.5
03,31,00,43,24.9,86.6
03,32,00,40,24.9,86.6
03,33,00,47,24.9,86.7
03,34,00,41,25,86.6
03,35,00,25,25,86.6
03,36,00,39,25,86.3
03,37,00,41,25,86.4
03,38,00,46,25,86.5
03,39,00,36,25.1,86.2
03,40,00,42,25.1,86.3
03,41,00,15,25.1,86.4
03,42,00,20,25.1,85.7
03,43,00,30,25,86
03,44,00,42,25,85.6
03,45,00,21,25.1,85.1
03,46,00,43,25.1,85.3
03,47,00,37,25.1,85.3
03,48,00,31,25.1,85.2
03,49,00,32,25,85.3
03,50,00,26,24.9,85.9
03,51,00,31,24.9,86
03,52,00,18,24.9,85.9
03,53,00,53,24.8,86
03,54,00,38,24.9,85.8
03,55,00,23,24.9,85.8
03,56,00,17,24.9,85.7
03,57,00,50,24.9,85.9
03,58,00,32,24.8,86
03,59,00,40,24.7,86.4
04,00,00,36,24.8,86.4
04,01,00,28,24.8,85.9
04,02,00,20,24.7,86.4
04,03,00,19,24.6,85.8
04,04,00,16,24.6,86.3
04,05,00,31,24.7,86
04,06,00,17,24.7,85.6
04,07,00,35,24.7,85.8
04,08,00,33,24.8,85.6
04,09,00,34,24.8,85.6
04,10,00,22,24.9,85.4
04,11,00,34,24.8,85.3
04,12,00,45,24.9,85.5
04,13,00,24,24.8,85.7
04,14,00,28,24.8,86
04,15,00,45,24.7,86.2
04,16,00,25,24.7,86.5
04,17,00,12,24.7,86.3
04,18,00,35,24.6,86.5
04,19,00,26,24.6,87.2
04,20,00,30,24.5,87.4
04,21,00,62,24.4,87.8
04,22,00,20,24.4,87.8
04,23,00,20,24.4,87.9
04,24,00,32,24.4,87.5
04,25,00,35,24.4,87
04,26,00,36,24.3,87.6
04,27,00,34,24.3,87.7
04,28,00,15,24.2,87.5
04,29,00,32,24.3,87.2
04,30,00,32,24.4,86.8
04,31,00,38,24.4,86.5
04,32,00,39,24.4,87.1
04,33,00,29,24.5,86.3
04,34,00,26,24.4,86.3
04,35,00,27,24.5,86.6
04,36,00,25,24.6,86.2
04,37,00,24,24.5,86.3
04,38,00,36,24.5,86.4
04,39,00,40,24.5,86.4
04,40,00,53,24.5,86
04,41,00,22,24.5,85.8
04,42,00,21,24.5,85.9
04,43,00,23,24.6,85.9
04,44,00,27,24.6,85.4
04,45,00,38,24.6,85.6
04,46,00,27,24.6,85.6
04,47,00,11,24.6,85.5
04,48,00,27,24.6,85.7
04,49,00,37,24.7,85.6
04,50,00,33,24.7,85.5
04,51,00,39,24.6,85.7
04,52,00,33,24.6,86.1
04,53,00,35,24.5,86.1
04,54,00,16,24.5,86.3
04,55,00,42,24.5,86.3
04,56,00,31,24.5,86.1
04,57,00,40,24.5,86.2
04,58,00,47,24.5,86.3
04,59,00,22,24.5,86.3
05,00,00,51,24.5,86
05,01,00,34,24.6,86
05,03,00,28,24.4,86.6
05,04,00,26,24.4,86.5
05,05,00,18,24.4,86.4
05,06,00,32,24.5,86.5
05,07,00,21,24.5,86.3
05,08,00,43,24.5,86.3
05,09,00,22,24.5,86
05,10,00,31,24.5,86
05,11,00,19,24.5,86.1
05,12,00,24,24.5,86.1
05,13,00,25,24.5,85.9
05,14,00,37,24.5,86
05,15,00,35,24.5,85.8
05,16,00,32,24.5,85.7
05,17,00,36,24.5,86.2
05,18,00,15,24.4,86.9
05,19,00,36,24.3,86.8
05,20,00,32,24.3,86.7
05,21,00,28,24.3,86.8
05,22,00,27,24.3,86.7
05,23,00,24,24.4,86.4
05,24,00,44,24.4,86.4
05,25,00,40,24.4,86.3
05,26,00,32,24.4,86.3
05,27,00,45,24.5,85.9
05,28,00,24,24.5,85.6
05,29,00,37,24.6,85.5
05,30,00,29,24.6,85.4
05,31,00,71,24.5,86
05,32,00,26,24.5,86.4
05,33,00,21,24.5,86.3
05,34,00,37,24.5,86.3
05,35,00,16,24.4,86.3
05,36,00,34,24.4,86.3
05,37,00,34,24.3,86.5
05,38,00,23,24.3,86.5
05,39,00,11,24.3,86.7
05,40,00,35,24.3,86.5
05,41,00,28,24.3,86.4
05,42,00,28,24.3,86.4
05,43,00,39,24.3,86.4
05,44,00,26,24.4,86.2
05,45,00,52,24.4,85.9
05,46,00,22,24.4,86
05,47,00,27,24.5,85.7
05,48,00,42,24.5,85.9
05,49,00,50,24.5,85.8
05,50,00,26,24.5,85.4
05,51,00,15,24.5,85.7
05,52,00,23,24.5,85.9
05,53,00,39,24.6,85.8
05,54,00,32,24.7,85.8
05,55,00,17,24.7,86
05,56,00,33,24.7,85.8
05,57,00,33,24.7,86.3
05,58,00,36,24.6,86.6
05,59,00,28,24.6,87
06,00,00,51,24.6,86.8
06,01,00,37,24.6,86.3
06,02,00,30,24.6,86.3
06,03,00,27,24.6,86.1
06,04,00,30,24.7,85.8
06,05,00,38,24.6,85.9
06,06,00,32,24.5,85.8
06,07,00,51,24.5,86.2
06,08,00,20,24.5,86.3
06,09,00,36,24.5,86.4
06,10,00,30,24.5,86.1
06,11,00,38,24.5,86.6
06,12,00,43,24.6,86.4
06,13,00,34,24.7,86.3
06,14,00,43,24.7,86.4
06,15,00,27,24.7,86.6
06,16,00,62,24.7,86.8
06,17,00,40,24.7,86.9
06,18,00,34,24.7,86.5
06,19,00,40,24.8,86.4
06,20,00,32,24.9,85.4
06,21,00,42,24.9,85.1
06,22,00,26,25,84.5
06,23,00,39,24.9,84.6
06,24,00,39,25,84.5
06,25,00,26,24.9,84.6
06,26,00,30,25,84.4
06,27,00,39,25,83.6
06,28,00,45,25,84.1
06,29,00,47,24.9,84.5
06,30,00,36,25,85
06,31,00,33,24.9,85.3
06,32,00,29,24.9,85.4
06,33,00,25,25,85.6
06,34,00,23,25,85.6
06,35,00,34,25.1,84.5
06,36,00,26,25.3,83.9
06,37,00,33,25.3,83.6
06,38,00,40,25.3,84.1
06,39,00,25,25.3,83.7
06,40,00,31,25.3,83.8
06,41,00,22,25.4,83
06,42,00,58,25.4,82.7
06,43,00,32,25.4,82.9
06,44,00,41,25.4,82.9
06,45,00,28,25.5,82.2
06,46,00,40,25.5,82.4
06,47,00,35,25.5,82.3
06,48,00,26,25.6,82.8
06,49,00,32,25.6,83.3
06,50,00,46,25.6,82.2
06,51,00,40,25.7,82.3
06,52,00,54,25.6,82.4
06,53,00,48,25.6,82.7
06,54,00,27,25.6,81.9
06,55,00,41,25.6,82.1
06,56,00,26,25.7,82.3
06,57,00,25,25.9,81.9
06,58,00,29,25.9,81
06,59,00,44,25.9,80.3
07,00,00,15,26,80.5
07,01,00,25,25.8,80.7
07,02,00,40,25.7,80.3
07,03,00,50,25.9,79.4
07,04,00,46,26,79.4
07,05,00,32,26,80.3
07,06,00,53,26.1,81.1
07,07,00,38,26.2,79.8
07,08,00,44,26.1,80.1
07,09,00,19,26.1,79.9
07,10,00,47,26.1,79.3
07,11,00,37,26.2,79.3
07,12,00,38,26.1,80
07,13,00,34,26.1,80.3
07,14,00,33,26.1,80.6
07,15,00,21,26.2,80.8
07,16,00,37,26.3,79.8
07,17,00,28,26.3,80.2
07,18,00,35,26.2,79.8
07,19,00,38,26.3,80.2
07,20,00,35,26.4,80.5
07,21,00,33,26.4,79.1
07,22,00,29,26.3,79.1
07,23,00,39,26.3,79.6
07,24,00,45,26.3,79.7
07,25,00,34,26.4,78.9
07,26,00,43,26.5,79.1
07,27,00,52,26.5,77.9
07,28,00,32,26.5,79.6
07,29,00,29,26.4,79.3
07,30,00,41,26.4,79.6
07,31,00,24,26.4,79.9
07,32,00,55,26.4,79.9
07,33,00,34,26.4,79.8
07,34,00,28,26.4,79.1
07,35,00,42,26.4,78.6
07,36,00,49,26.4,78.8
07,37,00,43,26.5,78.4
07,38,00,46,26.5,79
07,39,00,35,26.4,80.2
07,40,00,43,26.4,80.4
07,41,00,47,26.4,78.9
07,42,00,32,26.4,78.8
07,43,00,35,26.5,78.6
07,44,00,48,26.5,78.6
07,45,00,23,26.6,78
07,46,00,23,26.6,77.9
07,47,00,54,26.6,79.2
07,48,00,42,26.5,80.4
07,49,00,40,26.5,80.5
07,50,00,60,26.6,79.8
07,51,00,41,26.7,79.5
07,52,00,45,26.7,78.7
07,53,00,33,26.8,79.1
07,54,00,36,26.7,78.3
07,55,00,45,26.7,78.9
07,56,00,36,26.8,79.5
07,57,00,28,26.8,79.6
07,58,00,56,26.6,79.4
07,59,00,41,26.6,80.3
08,00,00,38,26.8,79.4
08,01,00,48,26.8,79.1
08,02,00,50,26.9,79.2
08,03,00,38,26.9,78.2
08,04,00,14,27,78.3
08,05,00,43,27,77.6
08,06,00,40,27,77.5
08,07,00,26,27,77.6
08,08,00,41,27,78
08,09,00,46,27,77.6
08,10,00,31,27.1,77.8
08,11,00,40,27.1,77.2
08,12,00,32,27.1,76.8
08,13,00,32,27.1,76.7
08,14,00,24,27.1,76.9
08,15,00,36,27.2,76.5
08,16,00,48,27.1,76.2
08,17,00,39,27.2,76.4
08,18,00,44,27.2,77.6
08,19,00,43,27.3,77.4
08,20,00,42,27.3,76.3
08,21,00,60,27.4,76
08,22,00,37,27.4,76.5
08,23,00,34,27.5,77.2
08,24,00,61,27.5,77.3
08,25,00,68,27.6,76.1
08,26,00,40,27.5,75.8
08,27,00,42,27.6,75.9
08,28,00,54,27.6,76.1
08,29,00,42,27.6,75.6
08,30,00,51,27.6,75
08,31,00,62,27.5,75.8
08,32,00,41,27.5,76.1
08,33,00,54,27.7,75.2
08,34,00,57,27.7,75.7
08,35,00,42,27.7,74
08,36,00,46,27.6,73.9
08,37,00,23,27.6,73.9
08,38,00,29,27.7,73.4
08,39,00,32,27.9,73.4
08,40,00,35,27.9,72.9
08,41,00,58,28,73.5
08,42,00,51,28.1,72
08,43,00,54,28,71.2
08,44,00,24,28,71.1
08,45,00,30,28.1,71.1
08,46,00,43,28.1,72.1
08,47,00,29,28,72.4
08,48,00,65,28,73.3
08,49,00,37,28,71.7
08,50,00,58,28,72.7
08,51,00,46,28,71.3
08,52,00,50,28,71.2
08,53,00,31,28.2,71
08,54,00,43,28.2,69.8
08,55,00,60,28.1,68.6
08,56,00,46,28.1,69.3
08,57,00,44,28.2,70.1
08,58,00,33,28.3,70.2
08,59,00,62,28.3,70.2
09,00,00,41,28.4,70
09,01,00,37,28.5,69.7
09,02,00,29,28.5,68.3
09,03,00,52,28.5,68.3
09,04,00,33,28.6,68.8
09,05,00,35,28.6,68.8
09,06,00,67,28.7,67.7
09,07,00,57,28.5,67.4
09,08,00,54,28.5,68.3
09,09,00,65,28.6,68.9
09,10,00,45,28.6,67.7
09,11,00,34,28.7,68.3
09,12,00,68,28.8,68.6
09,13,00,65,28.7,68.7
09,14,00,72,28.8,68.2
09,15,00,44,28.8,67.9
09,16,00,63,28.7,67.2
09,17,00,65,28.7,67.1
09,18,00,65,28.6,67.4
09,19,00,41,28.6,67.9
09,20,00,26,28.7,68.3
09,21,00,53,28.9,67.8
09,22,00,55,28.8,67.6
09,23,00,46,28.9,67.8
09,24,00,38,29,67.5
09,25,00,51,28.8,68
09,26,00,59,28.8,67.9
09,27,00,69,28.8,67.9
09,28,00,68,28.8,66.6
09,29,00,57,28.7,66.6
09,30,00,54,28.8,64.6
09,31,00,60,28.9,65.4
09,32,00,55,28.9,65.3
09,33,00,70,28.9,65.5
09,34,00,49,28.9,65
09,35,00,59,28.9,64.8
09,36,00,56,28.9,64.8
09,37,00,61,28.9,64.7
09,38,00,41,28.9,65.2
09,39,00,56,28.9,65.3
09,40,00,56,29.1,64.9
09,41,00,52,29.1,64.4
09,42,00,51,29.2,64.4
09,43,00,62,29.3,64.7
09,44,00,55,29.2,64.7
09,45,00,42,29.3,64.7
09,46,00,26,29.3,64.3
09,47,00,37,29.4,64.4
09,48,00,34,29.4,65
09,49,00,33,29.5,63.5
09,50,00,64,29.5,63.4
09,51,00,56,29.4,63.3
09,52,00,76,29.3,64
09,53,00,41,29.3,63.2
09,54,00,48,29.2,63.9
09,55,00,35,29.3,63.4
09,56,00,64,29.3,62.9
09,57,00,48,29.5,62.9
09,58,00,86,29.5,63.5
09,59,00,23,29.4,62.8
10,00,00,41,29.5,62.6
10,01,00,52,29.5,62.4
10,02,00,45,29.4,62.3
10,03,00,48,29.4,62.9
10,04,00,43,29.5,62.6
10,05,00,54,29.7,62.8
10,06,00,27,29.7,62.9
10,07,00,30,29.8,63.5
10,08,00,59,29.8,63.4
10,09,00,33,29.8,62.3
10,10,00,63,29.9,63
10,11,00,33,29.8,62.5
10,12,00,27,29.7,62.8
10,13,00,61,29.6,62.3
10,14,00,31,29.6,63.3
10,15,00,52,29.6,63.4
10,16,00,82,29.7,62.4
10,17,00,51,29.7,62.4
10,18,00,64,29.6,62.3
10,19,00,60,29.7,62.7
10,20,00,34,29.7,61.7
10,21,00,43,29.7,61.4
10,22,00,58,29.7,61.7
10,23,00,51,29.5,62.3
10,24,00,51,29.5,61.7
10,25,00,59,29.6,61.6
10,26,00,50,29.6,62.5
10,27,00,48,29.7,62.3
10,28,00,31,29.8,62.8
10,29,00,57,29.9,61.9
10,30,00,51,30,62.3
10,31,00,36,29.7,62.2
10,32,00,68,29.6,62.2
10,33,00,38,29.5,62.6
10,34,00,45,29.5,62
10,35,00,66,29.6,62
10,36,00,46,29.7,62.3
10,37,00,62,29.6,62.5
10,38,00,48,29.7,65.4
10,39,00,64,29.8,62.9
10,40,00,59,29.9,62.5
10,41,00,81,29.8,62.2
10,42,00,43,29.8,62.9
10,43,00,31,29.9,62.6
10,44,00,62,30,62.1
10,45,00,74,30,61.8
10,46,00,35,30.1,62.3
10,47,00,38,30.3,62
10,48,00,70,30.4,61.4
10,49,00,55,30.2,61.2
10,50,00,65,30.4,61.8
10,51,00,45,30.7,60.9
10,52,00,57,30.8,60.8
10,53,00,94,30.9,60.9
10,54,00,55,30.7,60.7
10,55,00,45,30.5,60.2
10,56,00,51,30.4,60.3
10,57,00,39,30.6,60.9
10,58,00,56,30.9,59.6
10,59,00,68,30.8,59.9
11,00,00,53,30.8,59.9
11,01,00,29,31,60.1
11,02,00,107,31.2,59.2
11,03,00,46,31.3,59.4
11,04,00,46,31.5,59.3
11,05,00,23,31.8,58.9
11,06,00,53,31.5,57.9
11,07,00,65,31.3,58.3
11,08,00,52,31.3,58.4
11,09,00,48,31.4,58.2
11,10,00,35,31.1,58.9
11,11,00,74,31.1,59.2
11,12,00,43,31.1,59.4
11,13,00,35,31.2,59.4
11,14,00,36,31.3,59.7
11,15,00,38,31.4,58.5
11,16,00,60,31.3,59.3
11,17,00,48,31.4,59
11,18,00,50,31.5,58.9
11,19,00,38,31.4,58.7
11,20,00,42,31.5,59
11,21,00,66,31.5,59.2
11,22,00,60,31.4,59
11,23,00,43,31.4,59.5
11,24,00,70,31.4,58.4
11,25,00,40,31.5,59
11,26,00,49,31.6,59.6
11,27,00,42,31.6,58.8
11,28,00,49,31.5,58.2
11,29,00,51,31.4,59
11,30,00,61,30.9,59.4
11,31,00,55,30.8,59.8
11,32,00,43,30.9,60
11,33,00,54,30.9,60.1
11,34,00,34,30.8,60.6
11,35,00,62,30.9,61.4
11,36,00,49,31,60.1
11,37,00,47,31,60.3
11,38,00,47,30.9,59.8
11,40,00,60,30.9,60.4
11,41,00,52,31,59.9
11,42,00,45,31.1,60.2
11,43,00,45,31.1,60.4
11,44,00,53,31,61.2
11,45,00,50,31.1,60.5
11,46,00,37,31,60.4
11,47,00,71,31.1,60.8
11,48,00,42,31.1,61.4
11,49,00,34,31.2,61.2
11,50,00,41,31.1,59.7
11,51,00,55,31.1,60.7
11,52,00,50,31.2,60.5
11,53,00,45,31.2,60.4
11,54,00,43,31.3,60.3
